year_group,ks_level,topic_strand,sub_strand,statement
6,2,Geometry,position and direction,describe positions on the full coordinate grid (all 4 quadrants)
6,2,Geometry,position and direction,"draw and translate simple shapes on the coordinate plane, and reflect them in the axes"
6,2,Statistics,Statistics,interpret and construct pie charts and line graphs and use these to solve problems
6,2,Statistics,Statistics,calculate and interpret the mean as an average
8,3,Number,Number,"understand and use place value for decimals, measures and integers of any size"
8,3,Number,Number,"order positive and negative integers, decimals and fractions; use the number line as a model for ordering of the real numbers; use the symbols =, ≠, <, >, ≤, ≥"
8,3,Number,Number,"use the concepts and vocabulary of prime numbers, factors (or divisors), multiples, common factors, common multiples, highest common factor, lowest common multiple, prime factorisation, including using product notation and the unique factorisation property"
8,3,Number,Number,"use the 4 operations, including formal written methods, applied to integers, decimals, proper and improper fractions, and mixed numbers, all both positive and negative"
8,3,Number,Number,"use conventional notation for the priority of operations, including brackets, powers, roots and reciprocals"
8,3,Number,Number,recognise and use relationships between operations including inverse operations
8,3,Number,Number,"use integer powers and associated real roots (square, cube and higher), recognise powers of 2, 3, 4, 5 and distinguish between exact representations of roots and their decimal approximations"
8,3,Number,Number,"interpret and compare numbers in standard form A x 10n 1≤A<10, where n is a positive or negative integer or 0"
8,3,Number,Number,work interchangeably with terminating decimals and their corresponding fractions (such as 3.5 and [Fraction:7/2] or 0.375 and [Fraction:3/8])
8,3,Number,Number,"define percentage as ‘number of parts per hundred’, interpret percentages and percentage changes as a fraction or a decimal, interpret these multiplicatively, express 1 quantity as a percentage of another, compare 2 quantities using percentages, and work with percentages greater than 100%"
8,3,Number,Number,interpret fractions and percentages as operators
8,3,Number,Number,"use standard units of mass, length, time, money and other measures, including with decimal quantities"
8,3,Number,Number,round numbers and measures to an appropriate degree of accuracy
8,3,Number,Number,use approximation through rounding to estimate answers and calculate possible resulting errors expressed using inequality notation a<x≤b
8,3,Number,Number,use a calculator and other technologies to calculate results accurately and then interpret them appropriately
8,3,Number,Number,"appreciate the infinite nature of the sets of integers, real and rational numbers"
8,3,Algebra,Algebra,"use and interpret algebraic notation, including: ab in place of a × b"
8,3,Algebra,Algebra,"use and interpret algebraic notation, including: 3y in place of y + y + y and 3 × y"
8,3,Algebra,Algebra,"use and interpret algebraic notation, including: a² in place of a × a, a³ in place of a × a × a; a²b in place of a × a × b"
8,3,Algebra,Algebra,"use and interpret algebraic notation, including: [Fraction:a/b] in place of a ÷ b"
8,3,Algebra,Algebra,"use and interpret algebraic notation, including: coefficients written as fractions rather than as decimals"
8,3,Algebra,Algebra,"use and interpret algebraic notation, including: brackets"
8,3,Algebra,Algebra,"substitute numerical values into formulae and expressions, including scientific formulae"
8,3,Algebra,Algebra,"understand and use the concepts and vocabulary of expressions, equations, inequalities, terms and factors"
8,3,Algebra,Algebra,simplify and manipulate algebraic expressions to maintain equivalence by: collecting like terms
8,3,Algebra,Algebra,simplify and manipulate algebraic expressions to maintain equivalence by: multiplying a single term over a bracket
8,3,Algebra,Algebra,simplify and manipulate algebraic expressions to maintain equivalence by: taking out common factors
8,3,Algebra,Algebra,simplify and manipulate algebraic expressions to maintain equivalence by: expanding products of 2 or more binomials
8,3,Algebra,Algebra,understand and use standard mathematical formulae; rearrange formulae to change the subject
